Country,Region,Population,World Percentage,Americas Percentage
United States,Americas,332960297,4.27,32.5
Brazil,Americas,214143381,2.75,20.9
Mexico,Americas,126014024,1.62,12.3
Colombia,Americas,51049498,0.66,4.98
Argentina,Americas,45808747,0.59,4.47
Canada,Americas,38527066,0.49,3.76
Peru,Americas,33035304,0.42,3.22
Venezuela,Americas,28705000,0.37,2.8
Chile,Americas,19678363,0.25,1.92
Ecuador,Americas,17886660,0.23,1.75
Guatemala,Americas,17109746,0.22,1.67
Bolivia,Americas,11797257,0.15,1.15
Haiti,Americas,11743017,0.15,1.15
Cuba,Americas,11181595,0.14,1.09
Dominican Republic,Americas,10535535,0.14,1.03
Honduras,Americas,9450711,0.12,0.92
Paraguay,Americas,7353038,0.09,0.72
ElSalvador,Americas,6825935,0.09,0.67
Nicaragua,Americas,6595674,0.08,0.64
CostaRica,Americas,5163038,0.07,0.5
Panama,Americas,4278500,0.05,0.42
Uruguay,Americas,3554915,0.05,0.35
PuertoRico(United States),Americas,3285874,0.04,0.32
Jamaica,Americas,2734093,0.04,0.27
Trinidad and Tobago,Americas,1367558,0.02,0.13
Guyana,Americas,743699,0.01,0.07
Suriname,Americas,598000,0.01,0.06
Belize,Americas,430191,0.01,0.04
Bahamas,Americas,393450,0.01,0.04
Barbados,Americas,288000,0.0,0.03
SaintLucia,Americas,178696,0.0,0.02
Curaçao(Netherlands),Americas,153671,0.0,0.01
Grenada,Americas,113000,0.0,0.01
Aruba(Netherlands),Americas,111050,0.0,0.01
SaintVincentandtheGrenadines,Americas,110696,0.0,0.01
U.S.VirginIslands(United States),Americas,104000,0.0,0.01
AntiguaandBarbuda,Americas,99337,0.0,0.01
Dominica,Americas,72000,0.0,0.01
CaymanIslands(United Kingdom),Americas,65786,0.0,0.01
Bermuda(United Kingdom),Americas,64055,0.0,0.01
Greenland(Denmark),Americas,56653,0.0,0.01
SaintKittsandNevis,Americas,54000,0.0,0.01
TurksandCaicosIslands(United Kingdom),Americas,42953,0.0,0.0
SintMaarten(Netherlands),Americas,41486,0.0,0.0
SaintMartin(France),Americas,34065,0.0,0.0
BritishVirginIslands(United Kingdom),Americas,30000,0.0,0.0
Anguilla(United Kingdom),Americas,15000,0.0,0.0
SaintBarthélemy(France),Americas,10124,0.0,0.0
SaintPierreandMiquelon(France),Americas,5985,0.0,0.0
Montserrat(United Kingdom),Americas,5000,0.0,0.0
FalklandIslands(United Kingdom),Americas,4000,0.0,0.0
