Country,Region,Population,World Percentage,Oceania Percentage
Australia,Oceania,25922849,0.33,59.44
PapuaNewGuinea,Oceania,9122994,0.12,20.92
NewZealand,Oceania,5134950,0.07,11.77
Fiji,Oceania,898402,0.01,2.06
Solomon Islands,Oceania,728041,0.01,1.67
Vanuatu,Oceania,301295,0.0,0.69
FrenchPolynesia(France),Oceania,279890,0.0,0.64
NewCaledonia(France),Oceania,273674,0.0,0.63
Samoa,Oceania,199853,0.0,0.46
Guam(United States),Oceania,178306,0.0,0.41
Kiribati,Oceania,120740,0.0,0.28
Micronesia,Oceania,105754,0.0,0.24
Tonga,Oceania,99532,0.0,0.23
AmericanSamoa(United States),Oceania,56951,0.0,0.13
NorthernMarianaIslands(United States),Oceania,56801,0.0,0.13
MarshallIslands,Oceania,54516,0.0,0.13
Palau,Oceania,17957,0.0,0.04
CookIslands(NewZealand),Oceania,15342,0.0,0.04
Nauru,Oceania,11832,0.0,0.03
WallisandFutuna(France),Oceania,11369,0.0,0.03
Tuvalu,Oceania,10679,0.0,0.02
ChristmasIsland(Australia),Oceania,1966,0.0,0.0
NorfolkIsland(Australia),Oceania,1734,0.0,0.0
Niue(NewZealand),Oceania,1549,0.0,0.0
Tokelau(NewZealand),Oceania,1501,0.0,0.0
Cocos(Keeling)Islands(Australia),Oceania,573,0.0,0.0
PitcairnIslands(United Kingdom),Oceania,40,0.0,0.0
